Column1,Column2,Column3,Column4,Column5,Column6
nm0000729,Casey Affleck,1975,\N,"actor,director,writer","tt4034228,tt6063090,tt6265828,tt0443680"
nm0000775,Christina Applegate,1971,\N,"actress,producer,soundtrack","tt0101757,tt0092400,tt4651520,tt0253867"
nm0000782,Asia Argento,1975,\N,"actress,director,writer","tt0418819,tt0295701,tt0368774,tt0804507"
nm0000815,Mili Avital,1972,\N,"actress,director,producer","tt0111282,tt0112817,tt0181199,tt0120723"
nm0000827,Maxine Bahns,1971,\N,actress,"tt0112585,tt0117628,tt8558774,tt6517320"
nm0000924,Elizabeth Berkley,1972,\N,"actress,producer,soundtrack","tt0114436,tt0116313,tt0096694,tt0256524"
nm0000998,Jake Busey,1971,\N,"actor,producer,music_department","tt0120201,tt0309698,tt0116365,tt0120660"
nm0001038,Josh Charles,1971,\N,"actor,director,miscellaneous","tt0097165,tt0430105,tt0257076,tt1442462"
nm0001039,David Charvet,1972,\N,"actor,soundtrack,archive_footage","tt0103491,tt0096542,tt0496375,tt0112464"
nm0001057,Toni Collette,1972,\N,"actress,producer,director","tt0167404,tt0276751,tt0274558,tt7784604"
nm0001061,Holly Marie Combs,1973,\N,"actress,producer,writer","tt0158552,tt0103512,tt0104139,tt0096969"
nm0001068,Sofia Coppola,1971,\N,"director,actress,writer","tt0099674,tt0159097,tt0335266,tt5592248"
nm0001147,Shannen Doherty,1971,2024,"actress,producer,director","tt0098749,tt0158552,tt0097493,tt0113749"
nm0001151,Stephen Dorff,1973,\N,"actor,producer,writer","tt0120611,tt1421051,tt0469641,tt1253864"
nm0001166,James Duval,1972,\N,"actor,producer,writer","tt0246578,tt0187078,tt0116629,tt0303361"
nm0001176,Nicole Eggert,1972,\N,"actress,producer,archive_footage","tt0086681,tt0103843,tt0096542,tt0086827"
nm0001182,Carmen Electra,1972,\N,"actress,producer,writer","tt0362120,tt1073498,tt0175142,tt0799949"
nm0001184,Jenna Elfman,1971,\N,"actress,producer,archive_footage","tt0118303,tt0171433,tt1632708,tt0131369"
nm0001197,Anna Falchi,1972,\N,"actress,producer,executive","tt0109592,tt0109358,tt0111049,tt4142394"
nm0001231,Claire Forlani,1971,\N,"actress,producer,archive_footage","tt0119643,tt0132347,tt0460780,tt0117500"
nm0001250,Charlotte Gainsbourg,1971,\N,"actress,writer,composer","tt0870984,tt2382009,tt1527186,tt1937390"
nm0001259,Jennie Garth,1972,\N,"actress,producer,writer","tt0098749,tt0321018,tt0369910,tt0985692"
nm0001261,Rebecca Gayheart,1971,\N,"actress,director,archive_footage","tt0146336,tt0155776,tt0119807,tt7131622"
nm0001267,Balthazar Getty,1975,\N,"actor,producer,music_department","tt0100054,tt0116922,tt0426459,tt0100994"
nm0001272,Annabeth Gish,1971,\N,"actress,archive_footage","tt0095690,tt0115639,tt0113987,tt3174376"
nm0001293,Seth Green,1974,\N,"actor,writer,producer","tt0437745,tt0317740,tt0118655,tt0320244"
nm0001303,Carla Gugino,1971,\N,"actress,producer,soundtrack","tt0409459,tt3748172,tt0765429,tt0978764"
nm0001312,Geri Horner,1972,\N,"actress,writer,director","tt0120185,tt1121931,tt4495098,tt0243155"
nm0001386,Natalie Imbruglia,1975,\N,"actress,music_department,director","tt0274166,tt0775080,tt0139239,tt0245574"
nm0001398,Jenna Jameson,1974,\N,"actress,producer,director","tt0368859,tt0960890,tt0119951,tt0317688"
nm0001401,Angelina Jolie,1975,\N,"actress,producer,director","tt1587310,tt0172493,tt0824747,tt0146316"
nm0001467,Jared Leto,1971,\N,"actor,producer,director","tt0790636,tt0485947,tt1386697,tt5108870"
nm0001477,Robyn Lively,1972,\N,"actress,producer,archive_footage","tt0098453,tt0097647,tt0092214,tt1462054"
nm0001497,Tobey Maguire,1975,\N,"actor,producer,executive","tt0765010,tt0145487,tt0185014,tt0120789"
nm0001506,Jane March,1973,\N,"actress,producer,archive_footage","tt0109456,tt0101316,tt0800320,tt0338769"
nm0001517,Catherine McCormack,1972,\N,"actress,director,writer","tt0112573,tt0266987,tt0318081,tt0463854"
nm0001538,Jonny Lee Miller,1972,\N,"actor,director,producer","tt0297284,tt0402022,tt0219653,tt0178737"
nm0001543,Gretchen Mol,1972,\N,"actress,soundtrack","tt0139809,tt0381849,tt0979432,tt4034228"
nm0001551,Alanis Morissette,1974,\N,"music_artist,actress,composer","tt0120655,tt0120632,tt0363771,tt0458352"
nm0001576,Heather O'Rourke,1975,1988,"actress,archive_footage","tt0084516,tt0091778,tt0095889,tt0070992"
nm0001585,Kelly Packard,1975,\N,"actress,soundtrack","tt0218787,tt0096542,tt0103380,tt4328642"
nm0001605,Amanda Peet,1972,\N,"actress,writer,producer","tt0391304,tt1190080,tt0190138,tt0309698"
nm0001607,Sydney Penny,1971,\N,"actress,producer,writer","tt0089767,tt0085101,tt0065272,tt1578873"
nm0001616,Mekhi Phifer,1974,\N,"actor,producer,director","tt0108757,tt0322589,tt0363547,tt0298203"
nm0001618,Joaquin Phoenix,1974,\N,"actor,producer,director","tt0358273,tt0172495,tt1798709,tt1560747"
nm0001720,Ivan Sergei,1971,\N,"actor,director,writer","tt0120777,tt0207889,tt0284718,tt7335154"
nm0001760,Tori Spelling,1973,\N,"actress,producer,music_department","tt0257106,tt0098749,tt0162710,tt0119324"
nm0001778,Matt Stone,1971,\N,"music_department,writer,producer","tt0121955,tt0158983,tt0372588,tt0124819"
nm0001794,Henry Thomas,1971,\N,"actor,producer,composer","tt0083866,tt0331811,tt0110322,tt0217505"
nm0001860,Alicia Witt,1975,\N,"actress,music_department,producer","tt0087182,tt0411061,tt0146336,tt0408985"
nm0001864,Noah Wyle,1971,\N,"actor,producer,director","tt0108757,tt0246578,tt0104257,tt1146438"
nm0001869,Tina Yothers,1973,\N,"actress,soundtrack,archive_footage","tt0083413,tt0084675,tt0195301,tt0089125"
nm0001936,Roxanne Blaze,1974,\N,"actress,archive_footage","tt0106366,tt0112466,tt0104579,tt0128759"
nm0001953,Moritz Bleibtreu,1971,\N,"actor,producer,director","tt0119472,tt0250258,tt0177858,tt0130827"
nm0001960,Romane Bohringer,1973,\N,"actress,director,writer","tt0105032,tt8792898,tt0115561,tt0114702"
nm0001965,Élodie Bouchez,1973,\N,"actress,producer,soundtrack","tt0111019,tt0120449,tt0254199,tt0348876"
nm0001971,Ewen Bremner,1972,\N,"actor,producer,composer","tt2763304,tt0117951,tt0451279,tt0370263"
nm0002055,Alison Eastwood,1972,\N,"actress,writer,producer","tt0119668,tt7959026,tt0118548,tt1880415"
nm0002100,Marie Gillain,1975,\N,"actress,director,soundtrack","tt1035736,tt0115478,tt0102465,tt0112387"
nm0002105,Judith Godrèche,1972,\N,"actress,writer,director","tt3844362,tt0283900,tt0120744,tt0117477"
nm0002258,Jeffrey Abramson,1974,\N,"producer,miscellaneous,location_management","tt0116000,tt0116289,tt0120192,tt0413975"
nm0002261,Alexander Kiening,1973,\N,"producer,camera_department,production_manager","tt8629136,tt5314232,tt4670580,tt0133385"
nm0002265,John B. Josselyn,1971,\N,"art_director,art_department,production_designer","tt0117731,tt1464540,tt0233469,tt0118884"
nm0002276,Reinier Selen,1972,\N,"producer,miscellaneous,production_manager","tt1800338,tt1320352,tt1609159,tt0288861"
nm0002295,Karin Thayer,1971,\N,"director,cinematographer,writer","tt0177211,tt0202332,tt0202394,tt0202631"
nm0002363,Don Neudecker,1971,\N,"visual_effects,producer","tt0105946,tt0121804,tt0225683,tt0120711"
nm0002364,Dante Basco,1975,\N,"actor,producer,writer","tt0102057,tt0179116,tt0446046,tt2139965"
nm0002393,Tara Howie,1973,\N,"miscellaneous,transportation_department,camera_department","tt1375666,tt0242445,tt0250687,tt4244998"
nm0002406,Harry Jay Knowles,1971,\N,"producer,actor,writer","tt0133751,tt0306846,tt7171224,tt1707821"
nm0002434,Cam Cronin,1972,\N,actor,"tt0309593,tt0385961,tt0106179,tt0118480"
nm0002436,Shannon Elizabeth,1973,\N,"actress,producer,director","tt0163651,tt0175142,tt6521876,tt0314331"
nm0002438,Burnie Burns,1973,\N,"producer,writer,actor","tt0401747,tt3864024,tt5707408,tt8390938"
nm0002475,Barry Dignam,1971,\N,"director,producer,writer","tt0208920,tt0272034,tt0211427,tt0191492"
nm0002493,Simon Bowles,1971,\N,"production_designer,art_director,art_department","tt13433802,tt14371860,tt2404181,tt14458442"
nm0002502,Yvann Thibaudeau,1973,\N,"editor,actor,editorial_department","tt1486834,tt1656177,tt1048147,tt4610748"
nm0002519,Kate Eales,1975,\N,"editorial_department,sound_department,editor","tt1458175,tt0368008,tt0286106,tt0227445"
nm0002522,Jonathan Buss,1972,\N,"producer,director,camera_department","tt3895884,tt0480244,tt3268200,tt13653972"
nm0002529,Brian A. Kates,1972,\N,"editor,editorial_department,miscellaneous","tt1764234,tt1216491,tt0361127,tt1311071"
nm0002530,Kelly Wagner,1972,\N,"casting_director,producer,actress","tt0343818,tt0411951,tt1187064,tt1646980"
nm0002534,Alex Erkiletian,1974,\N,"producer,director,writer","tt0210223,tt0163894,tt0140067,tt0367854"
nm0002535,Jasper Randall,1974,\N,"music_department,composer,actor","tt2294629,tt3783958,tt0499549,tt3470600"
nm0002558,Ken Brooker,1973,\N,"location_management,production_manager,miscellaneous","tt2188671,tt5097410,tt11952606,tt0401855"
nm0002560,Adam Nordén,1971,\N,"composer,music_department,actor","tt2429292,tt0448267,tt0907683,tt5603140"
nm0002603,Ian B. Wile,1971,\N,"editorial_department,production_manager,editor","tt0261983,tt1034072,tt1037090,tt0460721"
nm0002607,Nico Lypitkas,1974,\N,"director,actor,assistant_director","tt0211474,tt0284433,tt0205469,tt0396958"
nm0002612,Lisa Skinstad,1973,\N,"miscellaneous,producer,production_manager","tt0281456,tt0281479,tt0120856,tt0231144"
nm0002625,Alison E. McBryde,1971,\N,"casting_department,casting_director,producer","tt0120591,tt0399201,tt0113277,tt0213149"
nm0002649,Yûki Masuda,1973,\N,"actress,animation_department,music_department","tt0397192,tt0290223,tt0396659,tt2160200"
nm0002650,Dylan Pank,1971,\N,"sound_department,writer,director","tt1301163,tt0214644,tt1293596,tt0213537"
nm0002661,Chris Angel,1972,\N,"editor,writer,director","tt0915473,tt7250628,tt7251532,tt0209160"
nm0002687,Janet Zdyb,1975,\N,"assistant_director,miscellaneous","tt0186151,tt0292506,tt0290095,tt0251160"
nm0002688,Mitch Davis,1971,\N,"producer,director,miscellaneous","tt0212919,tt21306248,tt0166370,tt2926810"
nm0002710,Jeremy C. Colfer,1975,\N,"production_manager,producer,writer","tt2353929,tt0162838,tt8380622,tt11378572"
nm0002712,Bas Dumoulin,1972,\N,"editor,director,writer","tt0126906,tt0187739,tt0215697,tt0233578"
nm0002720,Andrew Lowes,1975,\N,"director,writer,sound_department","tt0262544,tt0208678,tt0309510,tt0213537"
nm0002740,Ben Eberhard,1975,\N,"actor,producer","tt0138956,tt0115317,tt0207826,tt0112111"
nm0002747,Mark Sanger,1974,\N,"editor,editorial_department,visual_effects","tt8041270,tt1454468,tt4651466,tt3371366"
nm0002752,Tim Clague,1973,\N,"camera_department,director,writer","tt3800520,tt8344316,tt1536519,tt9047024"
nm0002762,Travis Baumann,1972,\N,visual_effects,"tt0190332,tt1517260,tt0181689,tt5886046"
nm0002763,James S. Fowler,1971,\N,"assistant_director,director,cinematographer","tt0213849,tt0207347,tt0207569,tt0262985"
nm0002782,Jessica Looney,1974,\N,"actress,producer,editor","tt20879464,tt0093780,tt0285341,tt0119837"
nm0002791,Craig Dabrowski,1974,\N,"editorial_department,producer,actor","tt0393567,tt1362264,tt0155197,tt0413573"
nm0002800,Scott Levy,1971,\N,"actor,producer,sound_department","tt0119567,tt0120338,tt0401462,tt1323595"
nm0002806,Bart Schroeven,1975,\N,producer,tt0444425
nm0002807,Ogi Ogas,1971,\N,"director,writer,editor","tt0211180,tt0214610,tt0214631,tt0485072"
nm0002822,Mark Hosack,1975,\N,"producer,writer,editor","tt0343818,tt0493165,tt0230540,tt8964206"
nm0002834,Brandon L. Wilson,1972,\N,"producer,editor,director","tt0398571,tt4063096,tt0914829,tt0312113"
nm0002847,Sean-Michael Smith,1972,\N,"camera_department,cinematographer,producer","tt0329774,tt0486822,tt0361620,tt0168629"
nm0002881,Eric Aubin,1971,\N,"camera_department,miscellaneous,cinematographer","tt0319262,tt1877832,tt3385516,tt0414993"
nm0002919,Zachary Gamburg,1975,\N,"miscellaneous,director,actor","tt0171580,tt0204076,tt0765725,tt1058042"
nm0002944,Michael Boisvert,1973,\N,"actor,stunts","tt0439410,tt5171438,tt1091909,tt0463948"
nm0002966,Jonathan Figg,1975,\N,"writer,producer,director","tt0212829,tt0275236,tt6467466,tt3489302"
nm0002967,Flip Filippelli,1973,\N,"art_department,art_director,miscellaneous","tt1079360,tt0447999,tt0115151,tt30496274"
nm0002971,Ángel Mena,1975,\N,"producer,director,writer","tt0217907,tt0122419"
nm0002977,J. Keith van Straaten,1971,\N,"producer,writer,actor","tt0836827,tt0264235,tt6966758,tt0072331"
nm0002981,Fredrik Agetoft,1971,\N,"writer,script_department,producer","tt0907683,tt0185112,tt12304420,tt1245088"
nm0003007,Velimir Kovacic,1972,\N,cinematographer,"tt0196745,tt0218114,tt0269144,tt0221250"
nm0003017,Lori Elberg,1975,\N,"director,writer,editorial_department","tt2791166,tt0131597,tt16302576,tt0482960"
nm0003021,Chris McKay,1973,\N,"director,producer,editor","tt11358390,tt9777666,tt4116284,tt1490017"
nm0003033,Aaron Weintraub,1975,\N,"visual_effects,editor,sound_department","tt0377713,tt1488589,tt2023587,tt1663662"
nm0003045,Brian Ash,1974,\N,"producer,writer,miscellaneous","tt0169986,tt0233142,tt9619846,tt0810912"
nm0003063,David Tarleton,1971,\N,"producer,director,editor","tt13524686,tt16058160,tt10502690,tt21202100"
nm0003084,Gregor Narholz,1971,\N,"composer,music_department,soundtrack","tt0345950,tt0362225,tt0124298,tt0221465"
nm0003103,Nicolas Debot,1973,\N,"director,producer,actor","tt15290430,tt3708326,tt26627462,tt26627341"
nm0003140,David Klein,1972,\N,"cinematographer,camera_department,actor","tt8111088,tt13668894,tt4943998,tt1796960"
nm0003161,Sara Barrett,1973,\N,"actress,producer,soundtrack","tt0169299,tt0413573,tt0094574,tt0816399"
nm0003206,Clay Westervelt,1973,\N,"cinematographer,producer,camera_department","tt1453253,tt2898306,tt2276000,tt5178264"
nm0003209,Martin Kunert,1974,\N,"producer,writer,director","tt0115813,tt0126253,tt0221741,tt0275130"
nm0003214,Matthew Wood,1972,\N,"sound_department,actor,miscellaneous","tt0121766,tt1650062,tt3748528,tt2527336"
nm0003274,Philip Schulz-Deyle,1972,\N,"producer,production_manager,miscellaneous","tt3774114,tt0455782,tt0449089,tt1298628"
nm0003276,Ron Ofer,1971,\N,"writer,director,producer","tt14670810,tt0223746,tt1978443,tt0214172"
nm0003294,Warren Skeels,1975,\N,"director,actor,writer","tt13232552,tt7183282"
nm0003310,Gavin Toomey,1974,\N,"visual_effects,director,composer","tt0119081,tt0146316,tt0348150,tt0163978"
nm0003341,Joshua J. Masters,1973,\N,"actor,assistant_director,location_management","tt0154901,tt0270197,tt0299075,tt0154908"
nm0003383,John Serpe,1971,\N,"writer,director,actor","tt4910718,tt9629470,tt0427449,tt0229400"
nm0003416,Denis Behnke,1972,\N,"visual_effects,actor,special_effects","tt6506264,tt1139328,tt5723272,tt2101473"
nm0003419,Dayyan Eng,1975,\N,"producer,director,writer","tt0311041,tt3308358,tt0280538,tt1032763"
nm0003473,Alexander Jovy,1971,\N,"director,producer,actor","tt0221563,tt1583948,tt32275453,tt0188667"
nm0003482,Nash Edgerton,1973,\N,"director,stunts,actor","tt7472896,tt3721964,tt1085507,tt1029161"
nm0003487,Lon Takiguchi,1973,\N,"assistant_director,producer,production_manager","tt9873892,tt0314353,tt14826022,tt1636826"
nm0003494,Doug Olear,1972,\N,"actor,producer,director","tt0306414,tt0386792,tt0098844,tt1196946"
nm0003509,Daniela Akerblom,1975,\N,"actress,miscellaneous,assistant_director","tt6097798,tt16030542,tt0118346,tt0101092"
nm0003563,Evan Evans,1975,\N,"music_department,composer,producer","tt0287072,tt7262922,tt1067773,tt0824747"
nm0003576,Sebastian Henckel-Donnersmarck,1972,\N,"director,writer,producer","tt0308972,tt0491792,tt0228186,tt0233589"
nm0003577,Kevin R. Hershberger,1973,\N,"director,costume_designer,producer","tt0235048,tt4327600,tt4465100,tt2477218"
nm0003589,Kathy Ringer,1971,\N,"assistant_director,miscellaneous","tt0316356,tt0184894,tt0388795,tt0337692"
nm0003609,Troy Bishop,1972,\N,"actor,miscellaneous","tt0117571,tt0086425,tt0426905,tt0065272"
nm0003615,Fabrice Nordmann,1974,\N,"director,writer,assistant_director","tt0123103,tt0112371,tt0274117,tt0119919"
nm0003625,J. André Chaintreuil,1972,\N,"art_department,visual_effects,special_effects","tt0181689,tt1440129,tt0379786,tt0163025"
nm0003626,Charlie Condou,1973,\N,"actor,producer,archive_footage","tt0426654,tt0280770,tt0486583,tt0086791"
nm0003630,Ryan Glorioso,1973,\N,"casting_department,casting_director,actor","tt15428778,tt13984270,tt14261112,tt16302202"
nm0003646,Samu Heikkilä,1971,\N,"editor,editorial_department,sound_department","tt21027780,tt3678192,tt8562100,tt0388318"
nm0003648,Paul Kermizian,1974,\N,"production_manager,director,producer","tt0235252,tt0406604,tt0372140,tt0300776"
nm0003656,Matthew Kershaw,1972,\N,"producer,writer,assistant_director","tt0986337,tt0316356,tt1875707,tt0273435"
nm0003657,Stephen A. Marinaccio II,1972,\N,"production_manager,producer,miscellaneous","tt2189461,tt5057054,tt0297144,tt1277737"
nm0003684,Amanda K. Montgomery,1972,\N,"miscellaneous,visual_effects,writer","tt0117731,tt0117998,tt0267804,tt0120915"
nm0003697,Florian Henckel von Donnersmarck,1973,\N,"director,writer,producer","tt0405094,tt5311542,tt1243957,tt0233589"
nm0003722,Michael G. England,1971,\N,"editorial_department,visual_effects,editor",tt0446059
nm0003726,Tallulah Hazekamp Schwab,1973,\N,"director,writer,assistant_director","tt3218368,tt7972570,tt0481422,tt2090481"
nm0003732,Neil Alumkal,1971,\N,"producer,writer","tt0117172,tt0479140,tt0072506"
nm0003777,J. Ben Sykes,1974,\N,"casting_department,miscellaneous,art_department","tt0169547,tt0104511,tt0166276,tt0107594"
nm0003782,Jeff Winner,1971,\N,"director,editor,producer","tt0408162,tt0238743,tt0171359,tt6351056"
nm0003842,Femke-Anna Broere,1972,\N,actress,"tt0115189,tt0222564,tt0112315"
nm0003849,Daniel Hubbard,1975,\N,"casting_director,casting_department,producer","tt1535109,tt0360717,tt0475276,tt0146316"
nm0003873,Brian Backman,1975,2016,"assistant_director,miscellaneous,location_management","tt0242445,tt0120338,tt1321870,tt0432348"
nm0003876,Laurent Boulanger,1972,\N,"director,writer,editor","tt0210124,tt0255376,tt0497991,tt0240145"
nm0003911,Brian Tyler,1972,\N,"music_department,composer,producer","tt2395427,tt1300854,tt1059786,tt1197624"
nm0003937,Steffen 'Bobby' Henzler,1972,\N,assistant_director,tt0223724
nm0003951,Eric Hester,1974,\N,"composer,music_department","tt0295264,tt0295460,tt0115320,tt0292515"
nm0003958,Pat Mastroianni,1971,\N,"actor,director,editor","tt0090417,tt0120685,tt0288937,tt2193041"
nm0003972,Ryan Shore,1974,\N,"composer,music_department,actor","tt1321510,tt6779076,tt11031770,tt3674910"
nm0004001,Mark Archer,1973,\N,"producer,director,cinematographer","tt13222004,tt19759596,tt0119361,tt0140806"
nm0004018,John Nein,1971,\N,"miscellaneous,assistant_director,editor","tt0120902,tt0420316,tt0116212,tt0251065"
nm0004026,Jeff Hoffman,1971,\N,"director,actor,writer","tt2011833,tt0213201,tt0329663,tt14134070"
nm0004030,John Karyus,1975,\N,"actor,camera_department,art_department","tt2450186,tt0462485,tt2256858,tt32821344"
nm0004036,Roger Dertinger,1973,\N,"art_department,actor,cinematographer","tt0450340,tt0367631,tt0204679,tt0345551"
nm0004049,Peter Atherton,1974,\N,"location_management,miscellaneous,actor","tt0405296,tt0758746,tt0212346,tt1065073"
nm0004071,Álvaro Curiel,1973,\N,"director,writer,assistant_director","tt1174933,tt5355580,tt1076874,tt0388409"
nm0004078,Péter Politzer,1974,\N,"director,editor,writer","tt6605846,tt0397857,tt0464955,tt10415684"
nm0004097,Alec Von Bargen,1972,\N,"actor,miscellaneous,writer","tt0362107,tt31039377,tt17424878,tt11865946"
nm0004130,Adina Shore,1971,\N,"make_up_department,camera_department,miscellaneous","tt0338337,tt0429493,tt1964418,tt0280380"
nm0004147,Mikko Nousiainen,1975,\N,"actor,soundtrack,archive_footage","tt0119211,tt1067580,tt1145479,tt0328432"
nm0004150,Jeremy Benning,1974,\N,"cinematographer,camera_department,producer","tt3230854,tt2299248,tt1934472,tt1680305"
nm0004151,Jennifer Ann Henry,1973,2017,"camera_department,cinematographer,actress","tt0319262,tt0206314,tt0450405,tt0438488"
nm0004166,Adam Hackbarth,1973,\N,"miscellaneous,actor,writer","tt0349612,tt0489024,tt0427688,tt0469135"
nm0004207,Giel van Geloven,1972,\N,"sound_department,music_department,camera_department","tt0239020,tt1634332,tt2707150,tt0808174"
nm0004217,André Øvredal,1973,\N,"director,writer,producer","tt1740707,tt3289956,tt4583446,tt1001520"
nm0004269,Oliver Driscoll,1974,\N,"camera_department,actor,miscellaneous","tt0816711,tt1524137,tt8041270,tt2381991"
nm0004280,Chris Blackwood,1972,\N,"stunts,actor","tt0163025,tt0120157,tt0120902,tt0119432"
nm0004301,Alexandra Adi,1971,\N,actress,"tt0155776,tt0163651,tt0118887,tt0116168"
nm0004307,Shane Salerno,1972,\N,"producer,writer,music_department","tt0120591,tt1596753,tt1630029,tt9174536"
nm0004308,Dirk Ahner,1973,\N,"writer,camera_department,director","tt0221928,tt2171897,tt5521594,tt0222256"
nm0004323,Jean-Luc Dinsdale,1971,\N,"visual_effects,camera_department,cinematographer","tt2193021,tt0457572,tt12263384,tt0118480"
nm0004325,Michiel Snijders,1972,\N,"producer,writer,animation_department","tt0800164,tt4809396,tt0408302,tt29560024"
nm0004335,Hrithik Roshan,1974,\N,"actor,assistant_director,music_department","tt1562872,tt0254481,tt0449994,tt5460276"
nm0004349,Kam Heskin,1973,\N,"actress,soundtrack","tt0327643,tt0366920,tt0133152,tt0264464"
nm0004369,Robert Lyon Rasner,1973,\N,"actor,writer,miscellaneous","tt3120280,tt0240732,tt0408524,tt0435770"
nm0004376,Franka Potente,1974,\N,"actress,director,writer","tt0130827,tt0258463,tt0372183,tt0203632"
nm0004395,Adam Scott,1973,\N,"actor,producer,director","tt1266020,tt11280740,tt1073507,tt0838283"
nm0004407,Curtis Smith,1974,\N,"assistant_director,miscellaneous,actor","tt3111426,tt0790712,tt9071322,tt9606374"
nm0004411,Jonathan Levit,1971,\N,"actor,miscellaneous,producer","tt1670345,tt7585146,tt0790628,tt1441135"
nm0004418,Kajol,1974,\N,"actress,soundtrack,archive_footage","tt0439662,tt1188996,tt0172684,tt0248126"
nm0004426,Mike McGowan,1973,\N,"camera_department,cinematographer","tt0112442,tt0111255,tt0120179,tt0134273"
